,title,heading,Description,token
0,DIPS,Tostitos Chunky Salsa Medium 24 Oz,"The predicted units for DIPS is 5.42682027858309 and actual unit is 24, The net gap is 0The average unit revenue for DIPS is 3.52The flavour code for DIPS is 53 with size 24 OZThe flavour description is KETTLE/CLS THN/MACADAMIA/ and item description is Tostitos Chunky Salsa Medium 24 Oz for DIPS",87
1,HISPANIC,Sabritones Puffed Wheat Snacks Chile & Lime Flavored 4 Oz,"The predicted units for HISPANIC is 49.8060395246476 and actual unit is 149, The net gap is 0The average unit revenue for HISPANIC is 1.71The flavour code for HISPANIC is 130 with size 2VALUE LINEThe flavour description is SABRITONES and item description is Sabritones Puffed Wheat Snacks Chile & Lime Flavored 4 Oz for HISPANIC",89
2,LAYS,Lay's Wavy Potato Chips Hickory BBQ 7 1/2 Oz,"The predicted units for LAYS is 15.5765348484851 and actual unit is 87.5, The net gap is 0The average unit revenue for LAYS is 2.37The flavour code for LAYS is 38 with size XLThe flavour description is WVBQ/BLD/SMK CHD BBQ and item description is Lay's Wavy Potato Chips Hickory BBQ 7 1/2 Oz for LAYS",91
3,ROLD GOLD,Rold Gold Tiny Twists Pretzels Original Flavored 16 Oz,"The predicted units for ROLD GOLD is 6.49249330803535 and actual unit is 18, The net gap is 0The average unit revenue for ROLD GOLD is 2.5The flavour code for ROLD GOLD is 86 with size XLThe flavour description is RLD GLD TINY TWIST and item description is Rold Gold Tiny Twists Pretzels Original Flavored 16 Oz for ROLD GOLD",87
4,DIPS,Tostitos Chunky Salsa Medium 15.5 Oz,"The predicted units for DIPS is 7.21551120599701 and actual unit is 18, The net gap is 0The average unit revenue for DIPS is 2.84The flavour code for DIPS is 53 with size SALSA DIPThe flavour description is KETTLE/CLS THN/MACADAMIA/ and item description is Tostitos Chunky Salsa Medium 15.5 Oz for DIPS",90
5,TOSTITOS,Tostitos Scoops Tortilla Chips Original 10 Oz,"The predicted units for TOSTITOS is 54.783189981941 and actual unit is 69.5, The net gap is 0The average unit revenue for TOSTITOS is 3.89The flavour code for TOSTITOS is 97 with size XXLThe flavour description is SCOOPS and item description is Tostitos Scoops Tortilla Chips Original 10 Oz for TOSTITOS",84
6,SINGLE SERVE FLEX,Chester's Fries Corn Snacks Flamin' Hot Flavored 1 Oz,"The predicted units for SINGLE SERVE FLEX is 113.870173556357 and actual unit is 215, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 0.33The flavour code for SINGLE SERVE FLEX is 19 with size SVL-RETAILThe flavour description is SALVRDE/HOT FRIES and item description is Chester's Fries Corn Snacks Flamin' Hot Flavored 1 Oz for SINGLE SERVE FLEX",110
7,SINGLE SERVE FLEX,Doritos Tortilla Chips Nacho Cheese Flavored 1 Oz,"The predicted units for SINGLE SERVE FLEX is 139.255874621977 and actual unit is 351.5, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 0.33The flavour code for SINGLE SERVE FLEX is 33 with size SVL-RETAILThe flavour description is NAC/RAN WAV/BEF TRK/PNT S and item description is Doritos Tortilla Chips Nacho Cheese Flavored 1 Oz for SINGLE SERVE FLEX",118
8,BAKED LAYS,Lay's Baked Potato Crisps Barbecue Flavored 6 1/4 Oz,"The predicted units for BAKED LAYS is 7.76223927961567 and actual unit is 16, The net gap is 0The average unit revenue for BAKED LAYS is 2.84The flavour code for BAKED LAYS is 3 with size XLThe flavour description is BBQ/ BAKED BBQ and item description is Lay's Baked Potato Crisps Barbecue Flavored 6 1/4 Oz for BAKED LAYS",98
9,BAKED CRUNCH CHEETOS,Cheetos Baked Cheese Flavored Snacks Crunchy Cheese Flavored 7.625 Oz,"The predicted units for BAKED CRUNCH CHEETOS is 5.25706018088238 and actual unit is 28, The net gap is 0The average unit revenue for BAKED CRUNCH CHEETOS is 2.8The flavour code for BAKED CRUNCH CHEETOS is 26 with size XLThe flavour description is RED FAT and item description is Cheetos Baked Cheese Flavored Snacks Crunchy Cheese Flavored 7.625 Oz for BAKED CRUNCH CHEETOS",108
10,LAYS,Lay's Potato Chips Barbecue Flavored 7 3/4 Oz,"The predicted units for LAYS is 32.4926071976216 and actual unit is 82.5, The net gap is 0The average unit revenue for LAYS is 2.33The flavour code for LAYS is 9 with size XLThe flavour description is JUMBO PUFFS/BBQ/ALMN and item description is Lay's Potato Chips Barbecue Flavored 7 3/4 Oz for LAYS",89
11,LAYS,Lay's Potato Chips Sweet Southern Heat Barbecue 7 3/4 Oz,"The predicted units for LAYS is 7.70515204071473 and actual unit is 12, The net gap is 0The average unit revenue for LAYS is 2.43The flavour code for LAYS is 546 with size XLThe flavour description is SWEET HEAT BBQ and item description is Lay's Potato Chips Sweet Southern Heat Barbecue 7 3/4 Oz for LAYS",84
12,FUNYUNS,Funyuns Onion Flavored Rings Flamin' Hot Flavored 6 Oz,"The predicted units for FUNYUNS is 6.84775174893988 and actual unit is 12, The net gap is 0The average unit revenue for FUNYUNS is 3.65The flavour code for FUNYUNS is 548 with size XLThe flavour description is FLAMING HOT/FIERY and item description is Funyuns Onion Flavored Rings Flamin' Hot Flavored 6 Oz for FUNYUNS",91
13,LAYS,Lay's Potato Chips Salt & Vinegar Flavored 12 1/2 Oz,"The predicted units for LAYS is 5.3227045261729 and actual unit is 8, The net gap is 0The average unit revenue for LAYS is 3.97The flavour code for LAYS is 39 with size PARTY SIZEThe flavour description is SLT VINEGAR/JAL CHD/JAL C and item description is Lay's Potato Chips Salt & Vinegar Flavored 12 1/2 Oz for LAYS",96
14,SMARTFOOD POPCORN,Smartfood Flavored Popcorn White Cheddar 6 3/4 Oz,"The predicted units for SMARTFOOD POPCORN is 43.4788722088402 and actual unit is 50, The net gap is 0The average unit revenue for SMARTFOOD POPCORN is 3.46The flavour code for SMARTFOOD POPCORN is 31 with size XLThe flavour description is CHS/MED CONQUES and item description is Smartfood Flavored Popcorn White Cheddar 6 3/4 Oz for SMARTFOOD POPCORN",100
15,CHEETOS POPCORN,Cheetos Popcorn Flavored Popcorn Cheddar Flavored 7 Oz,"The predicted units for CHEETOS POPCORN is 8.13247987783024 and actual unit is 0, The net gap is 8.13247987783024The average unit revenue for CHEETOS POPCORN is 2.98The flavour code for CHEETOS POPCORN is 31 with size XLThe flavour description is CHS/MED CONQUES and item description is Cheetos Popcorn Flavored Popcorn Cheddar Flavored 7 Oz for CHEETOS POPCORN",108
16,SINGLE SERVE FLEX,Lay's Potato Chips Sour Cream & Onion Flavored 2 5/8 Oz,"The predicted units for SINGLE SERVE FLEX is 7.99293026292413 and actual unit is 40, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.49The flavour code for SINGLE SERVE FLEX is 41 with size XXVLThe flavour description is SCO/HOT/BTR TOFF/FIESTA C and item description is Lay's Potato Chips Sour Cream & Onion Flavored 2 5/8 Oz for SINGLE SERVE FLEX",115
17,SINGLE SERVE FLEX,Lay's Potato Chips Limon Flavored 2 5/8 Oz,"The predicted units for SINGLE SERVE FLEX is 11.3943212919572 and actual unit is 40, The net gap is 0The average unit revenue for SINGLE SERVE FLEX is 1.48The flavour code for SINGLE SERVE FLEX is 82 with size XXVLThe flavour description is LIMON/PNT BTR CHS/VAN CRM and item description is Lay's Potato Chips Limon Flavored 2 5/8 Oz for SINGLE SERVE FLEX",110
18,SINGLE SERVE FLEX,Cheetos Puffs Cheese Flavored Snacks 3 Oz,"The predicted units for SINGLE SERVE FLEX is 50.7962231194402 and actual unit is 17.5, The net gap is 33.2962231194402The average unit revenue for SINGLE SERVE FLEX is 1.46The flavour code for SINGLE SERVE FLEX is 9 with size XXVLThe flavour description is JUMBO PUFFS/BBQ/ALMN and item description is Cheetos Puffs Cheese Flavored Snacks 3 Oz for SINGLE SERVE FLEX",115
